id anexLCA anhrLCA ancpLCA antdLCA andeLCA anpfCA anrcLCA anofLCA antgLCA anasLCA
143 1 1 1 1 1 1 1 2 1 2
144 1 1 1 1 2 1 2 2 2 2
145 2 1 1 1 1 1 2 2 2 2
146 2 2 1 1 1 1 2 2 1 2
147 2 1 1 1 1 1 1 2 2 2
148 2 2 1 1 1 1 1 2 2 2
149 1 1 1 1 2 2 1 2 1 2
150 2 1 1 1 1 1 1 1 1 2
151 1 2 1 1 1 2 2 2 2 2
152 1 2 1 1 1 1 1 2 1 2
153 1 1 1 1 1 1 1 2 1 2
154 1 1 1 1 1 1 1 2 1 2
155 2 2 1 1 1 1 1 2 1 2
156 1 1 1 1 2 2 2 2 2 2
157 2 2 2 1 1 1 1 2 2 2
158 1 1 1 2 1 1 1 1 1 2
159 1 2 2 1 1 2 2 2 2 2
160 1 1 1 2 1 1 1 1 1 2
161 1 1 1 1 1 1 1 2 1 1
162 1 1 1 1 1 1 1 2 1 2
163 1 1 1 1 1 1 1 2 2 2
164 2 1 1 1 1 1 1 2 2 2
165 2 1 1 1 1 1 1 2 1 2
166 2 1 1 1 1 1 1 2 1 2
167 1 1 1 1 1 1 2 2 1 2
168 2 1 1 1 1 1 1 2 1 2
169 2 2 1 1 2 1 1 1 2 2
170 1 1 1 1 1 1 2 2 2 2
171 2 2 2 1 1 2 2 2 2 2
172 1 1 1 2 1 1 1 2 2 2
173 1 1 2 1 1 1 1 2 2 2
174 2 1 1 1 1 1 1 2 2 2
175 1 2 1 1 1 2 1 2 2 2
176 1 1 1 1 1 1 1 2 1 2
177 1 2 1 1 1 1 1 2 2 2
178 2 1 1 1 1 1 1 2 1 2
179 2 1 1 1 1 1 1 2 2 2
180 1 1 1 1 1 1 1 1 1 2
181 1 1 1 1 1 1 1 2 1 1
182 2 1 2 1 1 1 1 1 1 2
183 1 1 1 1 1 1 1 1 1 2
184 1 1 1 1 1 1 1 2 2 2
185 1 2 1 1 1 1 1 2 2 2
186 1 1 1 1 1 1 1 2 1 2
187 1 1 1 1 2 1 1 2 2 1
188 1 1 1 2 1 2 1 1 2 2
189 1 2 1 1 1 1 1 2 2 2
190 1 1 1 1 1 1 1 2 1 2
191 1 1 1 2 2 1 1 1 2 2
192 1 1 1 1 1 1 2 2 1 2
193 2 1 1 1 1 1 1 2 2 2
194 1 2 1 1 2 1 1 2 2 2
195 1 1 1 1 1 1 1 1 1 2
196 2 2 1 1 2 1 2 2 2 2
197 1 1 1 1 1 1 1 1 1 1
198 2 1 1 1 2 1 1 2 2 2
199 2 1 1 1 1 1 1 1 2 2
200 1 1 1 1 1 1 1 1 1 2
201 2 1 1 1 1 1 1 1 2 2
202 2 1 1 1 1 1 1 2 1 2
203 1 1 1 1 1 2 1 1 2 2
204 1 1 1 1 1 1 1 2 2 2
205 2 1 1 2 1 1 2 2 2 2
206 1 1 1 2 2 2 2 2 2 2
207 2 1 1 1 1 1 1 2 2 2
208 2 1 1 1 1 1 1 1 1 2
209 2 1 1 1 1 1 1 1 1 2
210 1 1 1 1 1 1 1 2 1 2
211 1 1 1 2 1 1 1 2 2 2
212 1 2 1 1 1 1 1 2 2 2
213 2 1 1 1 1 1 2 2 2 2
214 2 1 1 1 1 1 1 1 2 1
215 1 2 1 1 2 2 1 2 2 2
216 2 2 1 1 1 2 1 2 2 2
217 1 2 1 2 1 1 1 2 2 2
218 1 1 2 1 2 1 1 2 2 2
219 2 1 1 1 1 1 1 2 1 2
220 2 1 1 1 1 2 1 2 2 1
221 1 1 1 1 1 1 1 2 1 2
222 1 1 1 2 1 1 2 1 2 2
223 1 2 1 1 1 1 1 2 2 2
224 2 2 1 1 1 1 1 2 2 2
225 1 2 1 1 2 2 2 2 2 2
226 1 1 1 1 1 1 1 2 1 2
227 1 1 1 1 1 2 1 2 2 2
228 2 1 1 2 1 1 1 2 2 2
229 1 1 1 1 1 1 1 2 2 2
230 1 1 1 1 1 2 1 1 2 1
231 1 2 1 1 1 1 1 1 1 1
232 2 1 1 1 1 1 2 2 2 2
233 1 2 1 1 1 1 1 1 1 2
234 2 2 1 1 2 2 1 2 2 2
235 1 1 1 1 1 2 1 2 2 2
236 2 2 1 1 2 1 1 2 2 2
237 2 1 1 2 1 2 1 2 1 2
238 2 2 1 1 1 1 1 2 2 2
239 2 2 1 1 1 2 2 2 2 2
240 2 2 1 1 2 2 2 2 2 2
241 1 2 1 1 1 1 1 2 1 2
242 2 1 1 1 2 2 1 2 2 2
243 2 1 1 1 1 1 2 2 1 2
244 1 2 1 1 1 1 1 2 1 2
245 2 1 1 1 1 1 1 2 2 1
246 1 2 1 1 1 1 1 2 1 2
247 1 1 1 1 1 1 1 1 2 2
248 1 1 1 1 1 1 1 1 1 1
249 1 1 1 1 1 1 1 1 1 1
250 1 2 1 1 1 1 1 2 1 2
251 2 1 1 1 2 1 1 1 2 2
252 1 1 1 1 1 1 1 2 2 1
253 1 2 1 1 1 1 1 2 2 1
254 1 2 1 1 1 1 2 2 2 2
255 1 1 1 1 1 2 1 1 1 1
256 2 1 1 1 1 1 1 2 1 2
257 1 2 1 1 1 1 1 2 2 1
258 1 1 1 1 1 1 1 2 1 2
259 1 1 1 1 1 1 1 2 1 2
260 1 2 1 2 1 1 1 1 2 2
261 1 2 1 1 1 1 1 1 2 2
262 1 2 1 1 2 2 1 2 2 2
263 1 2 2 1 1 1 1 2 1 2
264 2 1 1 1 1 1 1 1 1 2
265 2 1 1 1 1 1 1 2 2 2
266 1 1 1 1 1 1 1 2 1 2
267 1 2 1 1 1 2 1 2 2 2
268 2 1 1 1 2 2 2 2 2 1
269 1 2 1 1 1 2 2 2 2 2
270 2 2 1 1 1 2 1 2 2 2
271 2 1 1 1 1 2 1 1 1 2
272 2 1 1 1 2 2 1 2 2 2
273 1 1 1 1 1 1 2 2 1 2
274 1 2 1 1 2 1 1 2 2 2
275 1 1 1 1 1 1 1 1 1 2
276 1 1 1 1 1 1 1 2 2 2
277 2 2 1 1 2 1 1 2 2 2
278 1 2 1 1 1 1 2 2 1 2
279 1 2 1 1 1 1 2 2 1 2
280 1 1 1 1 1 1 1 2 1 2
281 1 2 1 1 1 1 2 2 1 2
282 2 1 1 1 1 1 1 2 1 1
283 1 1 1 1 1 1 1 1 2 2
284 1 2 1 1 1 1 2 2 1 2
285 2 1 1 1 1 1 1 1 2 2
286 2 1 2 1 2 2 2 2 2 2
287 1 1 1 1 1 1 1 2 1 2
288 1 2 1 1 2 2 2 2 2 2
289 1 2 1 1 1 1 1 2 2 2
290 1 2 1 1 1 1 2 2 2 2
291 1 2 1 1 1 1 2 2 2 2
292 1 2 1 1 1 1 2 2 2 2
293 1 2 1 1 1 1 2 2 2 2
294 2 2 1 1 1 1 1 2 2 2
295 2 2 1 2 2 2 2 2 2 2
296 1 1 1 1 1 1 1 2 1 2
297 1 1 1 1 1 1 1 2 2 2
298 1 2 1 1 1 1 1 2 2 2
299 2 1 1 1 1 1 1 1 2 2
300 1 1 1 1 1 1 1 2 1 2
301 1 1 1 1 2 2 2 2 2 2
302 1 1 1 2 1 1 1 2 2 2
303 1 1 1 1 1 1 1 2 1 2
304 2 2 1 1 1 1 1 2 1 2
305 2 1 1 1 1 1 1 1 2 2
306 1 2 1 1 2 1 2 2 2 2
307 1 1 1 1 1 1 1 1 2 1
308 1 1 1 1 1 1 1 2 1 2
309 1 1 1 1 1 1 1 2 1 2
310 1 2 2 1 1 1 2 2 2 2
311 2 1 2 1 1 1 1 1 2 2
312 2 2 1 1 2 1 2 2 2 2
313 1 1 1 2 1 1 1 2 1 1
314 1 2 2 1 1 2 1 2 2 2
315 1 2 1 1 1 2 1 2 2 2
316 1 1 1 1 1 1 1 2 2 2
317 2 1 1 1 1 1 1 2 2 2
318 2 1 2 2 1 1 1 1 2 2
319 1 1 1 1 1 1 1 2 2 2
